id,question,sparql,category,complexity,templateId
q1,What is related to Programming Activities through has evaluation method?,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:programming_activities . },university,basic,1_prop_subject_target
q2,What has prerequisite course Introduction to Artificial Intelligence and Data Science?,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:introduction_to_artificial_intelligence_and_data_science . },university,basic,1_prop_subject_target
q3,Find the intermediate entity between System Administration and Test via has prerequisite course and has evaluation method.,SELECT ?target WHERE { ns1:system_administration ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:test . },university,intermediate,2_prop_middle_target_v1
q4,What is related to Study Program Mandatory Course through has course category?,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_mandatory_course . },university,basic,1_prop_subject_target
q5,Which has prerequisite course is associated with Software engineering?,SELECT ?target WHERE { ns1:software_engineering ns1:has_prerequisite_course ?target . },university,basic,1_prop_object_target
q6,What is related to Center for Cyber Security and Cryptography through has research group?,SELECT ?target WHERE { ?target ns1:has_research_group ns1:center_for_cyber_security_and_cryptography . },university,basic,1_prop_subject_target
q7,What is the middle point linking Ethical Hacking to Test?,SELECT ?target WHERE { ns1:ethical_hacking ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:test . },university,intermediate,2_prop_middle_target_v1
q8,What has course category Study Program Elective Course?,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_elective_course . },university,basic,1_prop_subject_target
q9,What has prerequisite course Discrete Mathematics 2?,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:discrete_mathematics_2 . },university,basic,1_prop_subject_target
q10,What entity serves as a connection point for Discrete Mathematics 2 and Study Program Elective Course?,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ns1:discrete_mathematics_2 . ?hidden ns1:has_course_category ns1:study_program_elective_course . ?hidden ns1:has_course_code ?target . },university,advanced,3_prop_star_v1
q11,Which items have has prerequisite course of Statistics and Probability?,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:statistics_and_probability . },university,basic,1_prop_subject_target
q12,What is the has research group of Deep Learning?,SELECT ?target WHERE { ns1:deep_learning ns1:has_research_group ?target . },university,basic,1_prop_object_target
