id,sparql,pattern_type,complexity
q1,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1950/5/pasal/0010> lex2kg-o:versi ?target . ?target lex2kg-o:ayat <https://example.org/lex2kg/uu/1950/5/pasal/0010/versi/19500720/ayat/0006> . },2_prop_middle_target_v1,intermediate
q2,SELECT ?target WHERE { ?target lex2kg-o:bab ?hidden . ?hidden lex2kg-o:pasal <https://example.org/lex2kg/uu/1953/25/pasal/0039> . },2_prop_branching_v1,intermediate
q3,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1953/25> lex2kg-o:pasal ?target . },1_prop_object_target,basic
q4,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1957/44> lex2kg-o:menimbang ?target . },1_prop_object_target,basic
q5,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1957/41> lex2kg-o:menimbang ?target . },1_prop_object_target,basic
q6,SELECT ?target WHERE { ?target lex2kg-o:pasal ?hidden . ?hidden lex2kg-o:versi <https://example.org/lex2kg/uu/1953/25/pasal/0017/versi/19531218> . },2_prop_branching_v1,intermediate
q7,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1953/10/pasal/0002> lex2kg-o:versi ?target . ?target lex2kg-o:ayat <https://example.org/lex2kg/uu/1953/10/pasal/0002/versi/19530509/ayat/0006> . },2_prop_middle_target_v1,intermediate
q8,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1957/22/pasal/0012> lex2kg-o:versi ?target . },1_prop_object_target,basic
q9,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1965/16> lex2kg-o:mengingat ?target . },1_prop_object_target,basic
q10,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1971/11/pasal/0002> lex2kg-o:versi ?target . },1_prop_object_target,basic
q11,SELECT ?target WHERE { ?target lex2kg-o:versi <https://example.org/lex2kg/uu/1950/5/pasal/0005/versi/19500720> . },1_prop_subject_target,basic
q12,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1950/1/pasal/0070/versi/19500506/0004/0004/0004/0004/0003/0003/0003/0003/0003/0002> lex2kg-o:huruf ?target . },1_prop_object_target,basic
q13,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1957/46/pasal/0002> lex2kg-o:versi ?target . },1_prop_object_target,basic
q14,SELECT ?target WHERE { ?target lex2kg-o:mengingat <https://example.org/lex2kg/uu/1971/12/mengingat> . },1_prop_subject_target,basic
q15,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1950/2/pasal/0003> lex2kg-o:versi ?target . },1_prop_object_target,basic
q16,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1950/5/pasal/0002> lex2kg-o:versi ?target . },1_prop_object_target,basic
q17,SELECT ?target WHERE { ?target lex2kg-o:versi <https://example.org/lex2kg/uu/1953/27/pasal/0001/versi/19531218> . },1_prop_subject_target,basic
q18,SELECT ?target WHERE { ?target lex2kg-o:pasal <https://example.org/lex2kg/uu/1950/5/pasal/0008> . },1_prop_subject_target,basic
q19,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1953/35> lex2kg-o:bab ?target . },1_prop_object_target,basic
q20,SELECT ?target WHERE { ?target lex2kg-o:bab ?hidden . ?hidden lex2kg-o:pasal <https://example.org/lex2kg/uu/1953/25/pasal/0051> . },2_prop_branching_v1,intermediate
q21,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1950/2> lex2kg-o:pasal ?target . ?target lex2kg-o:versi <https://example.org/lex2kg/uu/1950/2/pasal/0006/versi/19500515> . },2_prop_middle_target_v1,intermediate
q22,SELECT ?target WHERE { ?target lex2kg-o:bab ?hidden . ?hidden lex2kg-o:pasal <https://example.org/lex2kg/uu/1953/25/pasal/0030> . },2_prop_branching_v1,intermediate
q23,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1950/1/pasal/0070/versi/19500506/0004/0004/0004/0004/0003/0003/0003/0003/0003/0002> lex2kg-o:huruf ?target . ?target lex2kg-o:merujuk <https://example.org/lex2kg/uu/1950/1/pasal/0137> . },2_prop_middle_target_v1,intermediate
q24,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1950/6/pasal/0008> lex2kg-o:versi ?target . ?target lex2kg-o:ayat <https://example.org/lex2kg/uu/1950/6/pasal/0008/versi/19500720/ayat/0003> . },2_prop_middle_target_v1,intermediate
q25,SELECT ?target WHERE { ?hidden lex2kg-o:mengingat <https://example.org/lex2kg/uu/1950/15/mengingat> . ?hidden lex2kg-o:pasal <https://example.org/lex2kg/uu/1950/15/pasal/0001> . ?hidden lex2kg-o:yurisdiksi ?target . },3_prop_star_v1,advanced
q26,SELECT ?target WHERE { ?target lex2kg-o:huruf <https://example.org/lex2kg/uu/1971/12/menimbang/huruf/c> . },1_prop_subject_target,basic
q27,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1953/25/pasal/0019> lex2kg-o:versi ?target . },1_prop_object_target,basic
q28,SELECT ?target WHERE { ?target lex2kg-o:versi ?hidden . ?hidden lex2kg-o:huruf <https://example.org/lex2kg/uu/1953/25/pasal/0022/versi/19531218/huruf/a> . },2_prop_branching_v1,intermediate
q29,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1957/50> lex2kg-o:pasal ?target . },1_prop_object_target,basic
q30,SELECT ?target WHERE { ?target lex2kg-o:versi <https://example.org/lex2kg/uu/1957/37/pasal/0002/versi/19571026> . },1_prop_subject_target,basic
q31,SELECT ?target WHERE { ?target lex2kg-o:pasal <https://example.org/lex2kg/uu/1953/25/pasal/0014> . },1_prop_subject_target,basic
q32,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1957/31/pasal/0001/versi/19571026/0001/0001/0001/0001/0001/0001/0001/0001/0001/0001/0001/0001/0001/0001/0001/0001/0001> lex2kg-o:huruf ?target . },1_prop_object_target,basic
q33,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1950/5/pasal/0005> lex2kg-o:versi ?target . ?target lex2kg-o:ayat <https://example.org/lex2kg/uu/1950/5/pasal/0005/versi/19500720/ayat/0001> . },2_prop_middle_target_v1,intermediate
