id,sparql,pattern_type,complexity
q1,SELECT ?target WHERE { ?hidden ns1:has_course_category ns1:study_program_elective_course . ?hidden ns1:also_known_as ?hidden2 . ?hidden ns1:has_course_code ?target . },3_prop_star_v1,advanced
q2,SELECT ?target WHERE { ?target ns1:has_course_category ns1:faculty_mandatory_course . },1_prop_subject_target,basic
q3,SELECT ?target WHERE { ?target ns1:has_course_category ns1:university_mandatory_course . },1_prop_subject_target,basic
q4,SELECT ?target WHERE { ?hidden ns1:has_research_group ns1:digital_library_and_distance_learning_laboratory . ?hidden ns1:has_credits ?hidden2 . ?hidden ns1:also_known_as ?target . },3_prop_star_v1,advanced
q5,SELECT ?target WHERE { ?target rdfs:range ns1:course_category . },1_prop_subject_target,basic
q6,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ns1:platform_based_programming . ?hidden ns1:has_evaluation_method ?hidden2 . ?hidden ns1:has_course_code ?target . },3_prop_star_v1,advanced
q7,SELECT ?target WHERE { ns1:has_research_group rdfs:domain ?hidden . ?target rdfs:range ?hidden . ?target rdfs:subPropertyOf ns1:has_prerequisite . },3_prop_linear_middle_v3,advanced
q8,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ns1:statistics_and_probability ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q9,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_prerequisite_course ns1:linear_algebra . },2_prop_branching_v4,intermediate
q10,SELECT ?target WHERE { ?target ns1:has_course_category ns1:university_mandatory_course . },1_prop_subject_target,basic
q11,SELECT ?target WHERE { ns1:computational_geometry ns1:has_course_category ?target . },1_prop_object_target,basic
q12,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:presentation_or_demo_of_project_assignments . },1_prop_subject_target,basic
q13,SELECT ?target WHERE { ns1:has_prerequisite_course rdfs:range ?target . },1_prop_object_target,basic
q14,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ns1:task . ?hidden ns1:also_known_as ?hidden2 . ?hidden ns1:has_course_category ?target . },3_prop_star_v1,advanced
q15,SELECT ?target WHERE { ?hidden ns1:has_research_group ns1:intelligent_systems_and_robotics . ?hidden ns1:has_evaluation_method ?hidden2 . ?hidden ns1:has_minimum_credits ?target . },3_prop_star_v1,advanced
q16,SELECT ?target WHERE { ns1:has_prerequisite_course rdfs:domain ?target . },1_prop_object_target,basic
q17,SELECT ?target WHERE { ns1:has_minimum_credits rdfs:subPropertyOf ?target . },1_prop_object_target,basic
q18,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ns1:project . ?hidden ns1:also_known_as ?hidden2 . ?hidden ns1:has_prerequisite_course ?target . },3_prop_star_v1,advanced
q19,SELECT ?target WHERE { ns1:has_prerequisite_course rdfs:range ?target . },1_prop_object_target,basic
q20,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ?hidden . ?hidden ns1:has_evaluation_method ns1:group_project . },2_prop_branching_v1,intermediate
q21,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ns1:statistics_and_probability ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q22,SELECT ?target WHERE { ns1:discrete_mathematics_2 ns1:has_course_category ?target . },1_prop_object_target,basic
q23,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:presentation . },1_prop_subject_target,basic
q24,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ?hidden ns1:has_prerequisite_course ns1:statistics_and_probability . },2_prop_branching_v4,intermediate
q25,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:report_document . },1_prop_subject_target,basic
q26,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_evaluation_method ns1:individual_review . },2_prop_branching_v4,intermediate
q27,SELECT ?target WHERE { ns1:computational_geometry ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q28,SELECT ?target WHERE { ?target rdfs:range ns1:course_category . },1_prop_subject_target,basic
q29,SELECT ?target WHERE { ?target rdfs:domain ns1:course . },1_prop_subject_target,basic
q30,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_prerequisite_course ns1:programming_basics_1 . },2_prop_branching_v4,intermediate
q31,SELECT ?target WHERE { ns1:has_evaluation_method rdfs:domain ?target . },1_prop_object_target,basic
q32,SELECT ?target WHERE { ns1:has_minimum_credits rdfs:range ?target . },1_prop_object_target,basic
q33,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ?hidden ns1:has_prerequisite_course ns1:discrete_mathematics_1 . },2_prop_branching_v4,intermediate
q34,SELECT ?target WHERE { ?target rdfs:subPropertyOf ns1:has_prerequisite . },1_prop_subject_target,basic
q35,SELECT ?target WHERE { ns1:computer_assisted_teaching ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q36,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_prerequisite_course ns1:discrete_mathematics_1 . },2_prop_branching_v4,intermediate
q37,SELECT ?target WHERE { ?target rdfs:range ns1:course . },1_prop_subject_target,basic
q38,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:platform_based_programming . },1_prop_subject_target,basic
q39,SELECT ?target WHERE { ns1:advanced_database ns1:has_course_category ?target . },1_prop_object_target,basic
q40,SELECT ?target WHERE { ?hidden ns1:has_research_group ?target . ?hidden ns1:has_evaluation_method ns1:project_assignment . },2_prop_branching_v4,intermediate
q41,SELECT ?target WHERE { ns1:integrated_personality_development_skills ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q42,SELECT ?target WHERE { ns1:has_minimum_credits rdfs:subPropertyOf ?target . },1_prop_object_target,basic
q43,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_research_group ns1:intelligent_systems_and_robotics . },2_prop_branching_v4,intermediate
q44,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_research_group ns1:digital_library_and_distance_learning_laboratory . },2_prop_branching_v4,intermediate
q45,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_evaluation_method ns1:presentation_or_demo_of_project_assignments . },2_prop_branching_v4,intermediate
q46,SELECT ?target WHERE { ns1:computer_network ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q47,SELECT ?target WHERE { ?hidden ns1:has_research_group ?target . ?hidden ns1:has_prerequisite_course ns1:programming_basics_1 . },2_prop_branching_v4,intermediate
q48,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_prerequisite_course ns1:linear_algebra . },2_prop_branching_v4,intermediate
q49,SELECT ?target WHERE { ?target rdfs:range xsd:integer . },1_prop_subject_target,basic
q50,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_evaluation_method ns1:lab_assignment . },2_prop_branching_v4,intermediate
q51,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:operating_system . },1_prop_subject_target,basic
