id,sparql,pattern_type,complexity
q1,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1950/2/daftarPasal> lex2kg-o:pasal ?hidden . ?hidden lex2kg-o:versi ?target . ?target lex2kg-o:merujuk <https://example.org/lex2kg/uu/1950/2/pasal/0005> . },3_prop_linear_middle_v1,advanced
q2,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1953/25> lex2kg-o:pasal ?target . ?target lex2kg-o:versi <https://example.org/lex2kg/uu/1953/25/pasal/0004/versi/19531218> . },2_prop_middle_target_v1,intermediate
q3,SELECT ?target WHERE { ?target lex2kg-o:daftarPasal <https://example.org/lex2kg/uu/1957/22/daftarPasal> . },1_prop_subject_target,basic
q4,SELECT ?target WHERE { ?target lex2kg-o:huruf <https://example.org/lex2kg/uu/1950/1/pasal/0070/versi/19500506/huruf/0004/huruf/0004/huruf/0004/huruf/0004> . },1_prop_subject_target,basic
q5,SELECT ?target WHERE { ?target lex2kg-o:huruf <https://example.org/lex2kg/uu/1950/4/pasal/0001/versi/19500720/huruf/0007/huruf/0004> . },1_prop_subject_target,basic
q6,SELECT ?target WHERE { ?target lex2kg-o:huruf <https://example.org/lex2kg/uu/1950/1/pasal/0070/versi/19500506/huruf/0004/huruf/0004/huruf/0004/huruf/0003/huruf/0003/huruf/0002/huruf/0001> . },1_prop_subject_target,basic
q7,SELECT ?target WHERE { ?target lex2kg-o:versi <https://example.org/lex2kg/uu/1957/23/pasal/0003/versi/19570325> . },1_prop_subject_target,basic
q8,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1954/13/pasal/0001/versi/19540312/huruf/a/huruf/a> lex2kg-o:segmen ?target . },1_prop_object_target,basic
q9,SELECT ?target WHERE { <https://example.org/lex2kg/uu/1953/29> lex2kg-o:pasal ?target . },1_prop_object_target,basic
q10,SELECT ?target WHERE { ?target lex2kg-o:huruf ?hidden . ?hidden lex2kg-o:segmen <https://example.org/lex2kg/uu/1950/4/pasal/0001/versi/19500720/huruf/0007/huruf/0007/huruf/0002/huruf/0002/text> . },2_prop_branching_v1,intermediate
