id,sparql,pattern_type,complexity
q1,SELECT ?target WHERE { ns1:human-computer_interaction ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q2,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_prerequisite_course ns1:calculus_2 . },2_prop_branching_v4,intermediate
q3,SELECT ?target WHERE { ns1:distributed_systems ns1:has_course_category ?target . },1_prop_object_target,basic
q4,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_evaluation_method ns1:task . },2_prop_branching_v4,intermediate
q5,SELECT ?target WHERE { ns1:machine_learning ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q6,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_research_group ns1:computer_system_laboratory . },2_prop_branching_v4,intermediate
q7,SELECT ?target WHERE { ns1:cryptography_and_information_security ns1:has_research_group ?target . },1_prop_object_target,basic
q8,SELECT ?target WHERE { ?target ns1:has_research_group ns1:information_retrieval_and_natural_language_processing . },1_prop_subject_target,basic
q9,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_prerequisite_course ns1:discrete_mathematics_2 . },2_prop_branching_v4,intermediate
q10,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_research_group ns1:computer_system_laboratory . },2_prop_branching_v4,intermediate
q11,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_prerequisite_course ns1:linear_algebra . },2_prop_branching_v4,intermediate
q12,SELECT ?target WHERE { ns1:software_quality_assurance ns1:has_research_group ?target . },1_prop_object_target,basic
q13,SELECT ?target WHERE { ?target ns1:has_course_category ns1:university_mandatory_course . },1_prop_subject_target,basic
q14,SELECT ?target WHERE { ns1:distributed_systems ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q15,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ns1:calculus_2 ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q16,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_evaluation_method ns1:group_presentation . },2_prop_branching_v4,intermediate
q17,SELECT ?target WHERE { ns1:mobile_technology ns1:has_course_category ?target . },1_prop_object_target,basic
q18,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_research_group ns1:information_retrieval_and_natural_language_processing . },2_prop_branching_v4,intermediate
q19,SELECT ?target WHERE { ?target ns1:has_course_category ns1:university_mandatory_course . },1_prop_subject_target,basic
q20,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_course_category ns1:study_program_mandatory_course . },2_prop_branching_v4,intermediate
q21,SELECT ?target WHERE { ns1:algorithm_design_and_analysis ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q22,SELECT ?target WHERE { ns1:introduction_to_software_security ns1:has_course_category ?target . },1_prop_object_target,basic
q23,SELECT ?target WHERE { ns1:competitive_programming_practicum ns1:has_research_group ?target . },1_prop_object_target,basic
q24,SELECT ?target WHERE { ns1:english ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q25,SELECT ?target WHERE { ?target ns1:has_course_category ns1:faculty_mandatory_course . },1_prop_subject_target,basic
q26,SELECT ?target WHERE { ?target ns1:has_course_category ns1:faculty_mandatory_course . },1_prop_subject_target,basic
q27,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_course_category ns1:study_program_elective_course . },2_prop_branching_v4,intermediate
q28,SELECT ?target WHERE { ?target ns1:has_course_category ns1:faculty_mandatory_course . },1_prop_subject_target,basic
q29,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:introduction_to_artificial_intelligence_and_data_science . },1_prop_subject_target,basic
q30,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ns1:statistics_and_probability . ?hidden ns1:has_course_category ns1:faculty_mandatory_course . ?hidden ns1:has_credits ?target . },3_prop_star_v1,advanced
q31,SELECT ?target WHERE { ns1:robotics ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q32,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_prerequisite_course ns1:introduction_to_computer_organization . },2_prop_branching_v4,intermediate
q33,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_prerequisite_course ns1:calculus_1 . },2_prop_branching_v4,intermediate
q34,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:task . },1_prop_subject_target,basic
q35,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_research_group ns1:computer_system_laboratory . },2_prop_branching_v4,intermediate
q36,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:report_document . },1_prop_subject_target,basic
q37,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_research_group ns1:digital_library_and_distance_learning_laboratory . },2_prop_branching_v4,intermediate
q38,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_prerequisite_course ns1:software_engineering . },2_prop_branching_v4,intermediate
q39,SELECT ?target WHERE { ns1:distributed_systems ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q40,SELECT ?target WHERE { ns1:integrated_personality_development_skills ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q41,SELECT ?target WHERE { ns1:distributed_systems ns1:has_research_group ?target . },1_prop_object_target,basic
q42,SELECT ?target WHERE { ns1:introduction_to_artificial_intelligence_and_data_science ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q43,SELECT ?target WHERE { ns1:spoken_language_processing ns1:has_research_group ?target . },1_prop_object_target,basic
q44,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_mandatory_course . },1_prop_subject_target,basic
q45,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_prerequisite_course ns1:programming_basics_1 . },2_prop_branching_v4,intermediate
q46,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:platform_based_programming . },1_prop_subject_target,basic
q47,SELECT ?target WHERE { ?target ns1:has_course_category ns1:university_mandatory_course . },1_prop_subject_target,basic
q48,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:programming_projects_and_demos . },1_prop_subject_target,basic
q49,SELECT ?target WHERE { ns1:computer_vision ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:group_project . },2_prop_middle_target_v1,intermediate
q50,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:project . },1_prop_subject_target,basic
q51,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:programming_basics_2 . },1_prop_subject_target,basic
q52,SELECT ?target WHERE { ?target ns1:has_course_category ns1:university_mandatory_course . },1_prop_subject_target,basic
q53,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:programming_projects_and_demos . },1_prop_subject_target,basic
q54,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ns1:introduction_to_computer_organization ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q55,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_elective_course . },1_prop_subject_target,basic
q56,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ?hidden ns1:has_research_group ns1:machine_learning_and_computer_vision . },2_prop_branching_v4,intermediate
