id,sparql,pattern_type,complexity
q1,SELECT ?target WHERE { ns1:differential_equations ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:test . },2_prop_middle_target_v1,intermediate
q2,SELECT ?target WHERE { ns1:computer_network ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:test . },2_prop_middle_target_v1,intermediate
q3,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:introduction_to_artificial_intelligence_and_data_science . },1_prop_subject_target,basic
q4,SELECT ?target WHERE { ns1:language_theory_and_automata ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q5,SELECT ?target WHERE { ns1:computer_network ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:test . },2_prop_middle_target_v1,intermediate
q6,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:database . ?target ns1:has_evaluation_method ns1:test . },2_prop_middle_target_v4,intermediate
q7,SELECT ?target WHERE { ns1:programming_basics_1 ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q8,SELECT ?target WHERE { ns1:distributed_systems ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:test . },2_prop_middle_target_v1,intermediate
q9,SELECT ?target WHERE { ns1:computer_assisted_teaching ns1:has_research_group ?target . },1_prop_object_target,basic
q10,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ns1:presentation . ?hidden ns1:has_course_category ns1:faculty_mandatory_course . ?hidden ns1:has_minimum_credits ?target . },3_prop_star_v1,advanced
q11,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:data_structures_and_algorithms . },1_prop_subject_target,basic
q12,SELECT ?target WHERE { ns1:numerical_analysis ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q13,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ns1:task . ?hidden ns1:has_research_group ns1:intelligent_systems_and_robotics . ?hidden ns1:has_prerequisite_course ?target . },3_prop_star_v1,advanced
q14,SELECT ?target WHERE { ns1:natural_language_processing ns1:has_research_group ?target . },1_prop_object_target,basic
q15,SELECT ?target WHERE { ns1:ethical_hacking ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:test . },2_prop_middle_target_v1,intermediate
q16,SELECT ?target WHERE { ns1:advanced_database ns1:has_prerequisite_course ?target . ?target ns1:has_course_category ns1:faculty_mandatory_course . },2_prop_middle_target_v1,intermediate
q17,SELECT ?target WHERE { ?target ns1:has_research_group ns1:machine_learning_and_computer_vision . },1_prop_subject_target,basic
q18,SELECT ?target WHERE { ns1:software_engineering ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:test . },2_prop_middle_target_v1,intermediate
q19,SELECT ?target WHERE { ns1:introduction_to_digital_systems ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q20,SELECT ?target WHERE { ns1:individual_final_assignment ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:group_project . },2_prop_middle_target_v1,intermediate
q21,SELECT ?target WHERE { ns1:computer_network ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q22,SELECT ?target WHERE { ns1:computers_and_society ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q23,SELECT ?target WHERE { ns1:data_mining ns1:has_prerequisite_course ?target . ?target ns1:has_course_category ns1:faculty_mandatory_course . },2_prop_middle_target_v1,intermediate
q24,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ns1:statistics_and_probability . ?hidden ns1:has_evaluation_method ns1:group_project . ?hidden ns1:has_course_code ?target . },3_prop_star_v1,advanced
q25,SELECT ?target WHERE { ns1:system_programming ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q26,SELECT ?target WHERE { ns1:digital_forensics ns1:has_prerequisite_course ?target . ?target ns1:has_evaluation_method ns1:task . },2_prop_middle_target_v1,intermediate
q27,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:introduction_to_computer_organization . ?target ns1:has_course_category ns1:study_program_mandatory_course . },2_prop_middle_target_v4,intermediate
q28,SELECT ?target WHERE { ?hidden ns1:has_research_group ns1:reliable_software_engineering . ?hidden ns1:has_prerequisite_course ns1:discrete_mathematics_1 . ?hidden ns1:has_evaluation_method ?target . },3_prop_star_v1,advanced
q29,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ns1:programming_basics_1 . ?hidden ns1:has_course_category ns1:study_program_mandatory_course . ?hidden ns1:has_credits ?target . },3_prop_star_v1,advanced
