id,sparql,pattern_type,complexity
q1,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_prerequisite_course ns1:platform_based_programming . },2_prop_branching_v4,intermediate
q2,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:research_methodology_and_scientific_writing . },1_prop_subject_target,basic
q3,SELECT ?target WHERE { ns1:has_course_category rdfs:range ?target . },1_prop_object_target,basic
q4,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ns1:software_engineering ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q5,SELECT ?target WHERE { ?hidden ns1:has_minimum_credits ?target . ?hidden ns1:has_research_group ns1:digital_library_and_distance_learning_laboratory . },2_prop_branching_v4,intermediate
q6,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:final_project . },1_prop_subject_target,basic
q7,SELECT ?target WHERE { ?hidden ns1:has_course_category ns1:university_mandatory_course . ?hidden ns1:has_course_code ?hidden2 . ?hidden ns1:has_evaluation_method ?target . },3_prop_star_v1,advanced
q8,SELECT ?target WHERE { ?hidden rdfs:subPropertyOf ?target . ?hidden rdfs:domain ns1:course . },2_prop_branching_v4,intermediate
q9,SELECT ?target WHERE { ns1:has_minimum_credits rdfs:range ?target . },1_prop_object_target,basic
q10,SELECT ?target WHERE { ns1:has_credits rdfs:domain ?target . },1_prop_object_target,basic
q11,SELECT ?target WHERE { ns1:robotics ns1:has_course_category ?target . },1_prop_object_target,basic
q12,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ns1:database . ?hidden ns1:has_evaluation_method ?hidden2 . ?hidden ns1:also_known_as ?target . },3_prop_star_v1,advanced
q13,SELECT ?target WHERE { ns1:introduction_to_computer_organization ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q14,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ?hidden ns1:has_research_group ns1:computer_system_laboratory . },2_prop_branching_v4,intermediate
q15,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_course_category ns1:university_mandatory_course . },2_prop_branching_v4,intermediate
q16,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_research_group ns1:machine_learning_and_computer_vision . },2_prop_branching_v4,intermediate
q17,SELECT ?target WHERE { ns1:bioinformatics ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q18,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_evaluation_method ns1:practicum . },2_prop_branching_v4,intermediate
q19,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_course_category ns1:university_mandatory_course . },2_prop_branching_v4,intermediate
q20,SELECT ?target WHERE { ns1:web_application_architecture ns1:has_research_group ?target . },1_prop_object_target,basic
q21,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:programming_assignment . },1_prop_subject_target,basic
q22,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_evaluation_method ns1:test . },2_prop_branching_v4,intermediate
q23,SELECT ?target WHERE { ns1:has_prerequisite_course rdfs:range ?target . },1_prop_object_target,basic
q24,SELECT ?target WHERE { ns1:software_engineering ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q25,SELECT ?target WHERE { ns1:advanced_programming ns1:has_prerequisite_course ?hidden . ?hidden ns1:has_course_category ?hidden2 . ?hidden ns1:has_credits ?target . },3_prop_star_v2,advanced
q26,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_course_category ns1:faculty_mandatory_course . },2_prop_branching_v4,intermediate
q27,SELECT ?target WHERE { ?target rdfs:range ns1:course_category . },1_prop_subject_target,basic
q28,SELECT ?target WHERE { ?hidden ns1:has_prerequisite_course ?target . ?hidden ns1:has_course_category ns1:study_program_mandatory_course . },2_prop_branching_v4,intermediate
q29,SELECT ?target WHERE { ns1:also_known_as rdfs:range ?target . },1_prop_object_target,basic
q30,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ns1:platform_based_programming ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
