id,sparql,pattern_type,complexity
q1,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_research_group ns1:machine_learning_and_computer_vision . },2_prop_branching_v4,intermediate
q2,SELECT ?target WHERE { ns1:system_administration ns1:has_research_group ?target . },1_prop_object_target,basic
q3,SELECT ?target WHERE { ?hidden ns1:has_course_category ?target . ns1:introduction_to_artificial_intelligence_and_data_science ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q4,SELECT ?target WHERE { ns1:competitive_programming_practicum ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q5,SELECT ?target WHERE { ns1:final_project_group_assignment ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q6,SELECT ?target WHERE { ns1:machine_learning ns1:has_research_group ?target . },1_prop_object_target,basic
q7,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:programming_assignment . },1_prop_subject_target,basic
q8,SELECT ?target WHERE { ns1:ethical_hacking ns1:has_research_group ?target . },1_prop_object_target,basic
q9,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_prerequisite_course ns1:introduction_to_digital_systems . },2_prop_branching_v4,intermediate
q10,SELECT ?target WHERE { ?target ns1:has_research_group ns1:center_for_cyber_security_and_cryptography . },1_prop_subject_target,basic
q11,SELECT ?target WHERE { ns1:computer_assisted_teaching ns1:has_research_group ?target . },1_prop_object_target,basic
q12,SELECT ?target WHERE { ?hidden ns1:has_course_code ?target . ?hidden ns1:has_course_category ns1:faculty_mandatory_course . },2_prop_branching_v4,intermediate
q13,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ns1:introduction_to_computer_organization ns1:has_prerequisite_course ?hidden . },2_prop_branching_v2,intermediate
q14,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_mandatory_course . },1_prop_subject_target,basic
q15,SELECT ?target WHERE { ?target ns1:has_course_category ns1:university_mandatory_course . },1_prop_subject_target,basic
q16,SELECT ?target WHERE { ?hidden ns1:has_research_group ?target . ?hidden ns1:has_evaluation_method ns1:laboratory_assignment . },2_prop_branching_v4,intermediate
q17,SELECT ?target WHERE { ns1:data_structures_and_algorithms ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q18,SELECT ?target WHERE { ns1:logic_programming ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q19,SELECT ?target WHERE { ns1:embedded_systems ns1:has_prerequisite_course ?target . },1_prop_object_target,basic
q20,SELECT ?target WHERE { ns1:data_mining ns1:has_evaluation_method ?target . },1_prop_object_target,basic
q21,SELECT ?target WHERE { ?hidden ns1:also_known_as ?target . ?hidden ns1:has_prerequisite_course ns1:advanced_programming . },2_prop_branching_v4,intermediate
q22,SELECT ?target WHERE { ?target ns1:has_research_group ns1:reliable_software_engineering . },1_prop_subject_target,basic
q23,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:demo . },1_prop_subject_target,basic
q24,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:introduction_to_artificial_intelligence_and_data_science . },1_prop_subject_target,basic
q25,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:programming_basics_2 . },1_prop_subject_target,basic
q26,SELECT ?target WHERE { ns1:digital_forensics ns1:has_course_category ?target . },1_prop_object_target,basic
q27,SELECT ?target WHERE { ns1:knowledge_representation_and_reasoning ns1:has_research_group ?target . },1_prop_object_target,basic
q28,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ?hidden ns1:has_evaluation_method ns1:group_task . },2_prop_branching_v4,intermediate
q29,SELECT ?target WHERE { ?hidden ns1:has_credits ?target . ?hidden ns1:has_course_category ns1:university_mandatory_course . },2_prop_branching_v4,intermediate
q30,SELECT ?target WHERE { ?target ns1:has_evaluation_method ns1:project_assignment . },1_prop_subject_target,basic
q31,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ?hidden . ?hidden ns1:has_evaluation_method ns1:test . },2_prop_branching_v1,intermediate
q32,SELECT ?target WHERE { ?target ns1:has_research_group ns1:center_for_cyber_security_and_cryptography . },1_prop_subject_target,basic
q33,SELECT ?target WHERE { ?target ns1:has_prerequisite_course ns1:calculus_1 . },1_prop_subject_target,basic
q34,SELECT ?target WHERE { ?target ns1:has_course_category ns1:study_program_mandatory_course . },1_prop_subject_target,basic
q35,SELECT ?target WHERE { ?hidden ns1:has_evaluation_method ?target . ?hidden ns1:has_research_group ns1:computer_system_laboratory . },2_prop_branching_v4,intermediate
q36,SELECT ?target WHERE { ns1:religion ns1:has_evaluation_method ?target . },1_prop_object_target,basic
