"id","question","sparql","category","complexity","templateId"
"q1","What are the prerequisites for Cloud Computing?","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?prereq WHERE { <http://example . org/cloud_computing> ns1:has_prerequisite_course ?prereq . }","university","basic","course-prerequisites"
"q2","What courses do I need to take before for Cloud Computing?","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?prereq WHERE { <http://example . org/cloud_computing> ns1:has_prerequisite_course ?prereq . }","university","basic","course-prerequisites"
"q3","Can you tell me what are the prerequisites for cloud computing?","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?prereq WHERE { <http://example . org/cloud_computing> ns1:has_prerequisite_course ?prereq . }","university","basic","course-prerequisites"
"q4","Which research group is associated with Digital Library & Distance Learning Laboratory?","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?group WHERE { <http://example . org/digital_library_and_distance_learning_laboratory> ns1:has_research_group ?group . }","university","basic","course-research-group"
"q5","Can you tell me which research group is associated with digital library & distance learning laboratory?","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?group WHERE { <http://example . org/digital_library_and_distance_learning_laboratory> ns1:has_research_group ?group . }","university","basic","course-research-group"
"q6","What research group is associated with Digital Library & Distance Learning Laboratory?","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?group WHERE { <http://example . org/digital_library_and_distance_learning_laboratory> ns1:has_research_group ?group . }","university","basic","course-research-group"
"q7","What is the course code for Computational Geometry?","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?code WHERE { <http://example . org/computational_geometry> ns1:has_course_code ?code . }","university","basic","course-code"
"q8","I need to know what is the course code for computational geometry.","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?code WHERE { <http://example . org/computational_geometry> ns1:has_course_code ?code . }","university","basic","course-code"
"q9","Do you know what is the course code for computational geometry?","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?code WHERE { <http://example . org/computational_geometry> ns1:has_course_code ?code . }","university","basic","course-code"
"q10","What category does Faculty Mandatory Course belong to?","PREFIX rdf: <http://www . w3 . org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www . w3 . org/2000/01/rdf-schema#> PREFIX owl: <http://www . w3 . org/2002/07/owl#> PREFIX xsd: <http://www . w3 . org/2001/XMLSchema#> PREFIX ns1: <http://example . org/> PREFIX brick: <https://brickschema . org/schema/Brick#> PREFIX csvw: <http://www . w3 . org/ns/csvw#> PREFIX dc: <http://purl . org/dc/elements/1 . 1/> PREFIX dcat: <http://www . w3 . org/ns/dcat#> PREFIX dcmitype: <http://purl . org/dc/dcmitype/> PREFIX dcterms: <http://purl . org/dc/terms/> PREFIX dcam: <http://purl . org/dc/dcam/> PREFIX doap: <http://usefulinc . com/ns/doap#> PREFIX foaf: <http://xmlns . com/foaf/0 . 1/> PREFIX geo: <http://www . opengis . net/ont/geosparql#> PREFIX odrl: <http://www . w3 . org/ns/odrl/2/> PREFIX org: <http://www . w3 . org/ns/org#> PREFIX prof: <http://www . w3 . org/ns/dx/prof/> PREFIX prov: <http://www . w3 . org/ns/prov#> PREFIX qb: <http://purl . org/linked-data/cube#> PREFIX schema: <https://schema . org/> PREFIX sh: <http://www . w3 . org/ns/shacl#> PREFIX skos: <http://www . w3 . org/2004/02/skos/core#> PREFIX sosa: <http://www . w3 . org/ns/sosa/> PREFIX ssn: <http://www . w3 . org/ns/ssn/> PREFIX time: <http://www . w3 . org/2006/time#> PREFIX vann: <http://purl . org/vocab/vann/> PREFIX void: <http://rdfs . org/ns/void#> PREFIX wgs: <https://www . w3 . org/2003/01/geo/wgs84_pos#> PREFIX xml: <http://www . w3 . org/XML/1998/namespace>SELECT ?category WHERE { <http://example . org/faculty_mandatory_course> ns1:has_course_category ?category . }","university","basic","course-category"
